,datasize,encoder,trial,iou,max_f1
0,64,supervised,t1,0.17261692881584167,0.2980667897111058
1,64,supervised,t2,0.1217627227306366,0.21729224091993332
2,64,supervised,t3,0.2197800874710083,0.3604434141201264
3,64,swav-imagenet,t1,0.3848710060119629,0.5568534191322189
4,64,swav-imagenet,t2,0.3441033661365509,0.5165688468219869
5,64,swav-imagenet,t3,0.4200425446033478,0.6060865589935593
6,64,swav-s3,t1,0.4064488410949707,0.5781058346459332
7,64,swav-s3,t2,0.04848109930753708,0.09988446169559935
8,64,swav-s3,t3,0.2960592210292816,0.4573683386917803
9,128,supervised,t1,0.2892187535762787,0.45061122139797305
10,128,supervised,t2,0.4631030559539795,0.6338274658683377
11,128,supervised,t3,0.4301840662956238,0.6018727587819245
12,128,swav-imagenet,t1,0.49411776661872864,0.670186941248084
13,128,swav-imagenet,t2,0.5261232852935791,0.6898751546973627
14,128,swav-imagenet,t3,0.44367581605911255,0.6148858481042335
15,128,swav-s3,t1,0.48462560772895813,0.6584695268869423
16,128,swav-s3,t2,0.405202716588974,0.5795521853058048
17,128,swav-s3,t3,0.42901891469955444,0.602023456227451
18,256,supervised,t1,0.5271944999694824,0.7219549104916511
19,256,supervised,t2,0.567732036113739,0.7245073055575455
20,256,supervised,t3,0.5576776266098022,0.717622769146916
21,256,swav-imagenet,t1,0.5881730318069458,0.7408270638035338
22,256,swav-imagenet,t2,0.5945406556129456,0.7489350227331685
23,256,swav-imagenet,t3,0.5395170450210571,0.7029576589440176
24,256,swav-s3,t1,0.6284285187721252,0.7721918816232749
25,256,swav-s3,t2,0.5728318095207214,0.7320492763002079
26,256,swav-s3,t3,0.6204220056533813,0.7667219119657117
27,512,supervised,t1,0.5969362854957581,0.7479972665394661
28,512,supervised,t2,0.5591466426849365,0.7366756817211297
29,512,supervised,t3,0.5987774133682251,0.749150007614426
30,512,swav-imagenet,t1,0.6723652482032776,0.8051272869767316
31,512,swav-imagenet,t2,0.675582766532898,0.8070229337510676
32,512,swav-imagenet,t3,0.6838337779045105,0.8123374821423065
33,512,swav-s3,t1,0.6377102732658386,0.7792720266061341
34,512,swav-s3,t2,0.6641925573348999,0.7987088573491163
35,512,swav-s3,t3,0.6386464834213257,0.7796520306094192
36,1024,supervised,t1,0.6414533853530884,0.7832316164891943
37,1024,supervised,t2,0.6287559270858765,0.7722929593689434
38,1024,supervised,t3,0.6540408134460449,0.7921084588787568
39,1024,swav-imagenet,t1,0.6938533186912537,0.8213966032533958
40,1024,swav-imagenet,t2,0.6897265315055847,0.8164711734434127
41,1024,swav-imagenet,t3,0.6930724382400513,0.8190262912195716
42,1024,swav-s3,t1,0.7331719398498535,0.8463886858522157
43,1024,swav-s3,t2,0.6725769639015198,0.8048794803568633
44,1024,swav-s3,t3,0.7351961731910706,0.8476214254293222
